"activity_at_age_19_appprenticeships","rgn11nm","university_flag"
NA,"East Midlands","No university"
10.0418410041841,"South West","No university"
7.74193548387097,"East of England","No university"
NA,"Yorkshire and The Humber","No university"
15.0537634408602,"East of England","No university"
12.6582278481013,"North West","No university"
20.3389830508475,"East Midlands","No university"
10.2127659574468,"East of England","No university"
16.304347826087,"West Midlands","No university"
14.2011834319527,"East of England","No university"
NA,"West Midlands","No university"
21.7391304347826,"East Midlands","No university"
14.0845070422535,"South East","No university"
14.7286821705426,"North West","No university"
NA,"East Midlands","No university"
26.7857142857143,"North West","No university"
25.3521126760563,"North East","No university"
NA,"Yorkshire and The Humber","No university"
12.9427792915531,"North West","No university"
17.4603174603175,"East of England","No university"
22.9166666666667,"East Midlands","No university"
17.3913043478261,"North East","No university"
16.4835164835165,"North East","No university"
8.52017937219731,"South East","No university"
NA,"Yorkshire and The Humber","No university"
NA,"South West","No university"
NA,"East of England","No university"
25.6410256410256,"North East","No university"
11.1111111111111,"North West","No university"
14.5833333333333,"East Midlands","No university"
15.6626506024096,"South West","No university"
NA,"South East","No university"
18.3908045977011,"East Midlands","No university"
15.4970760233918,"Yorkshire and The Humber","No university"
13.0434782608696,"East of England","No university"
NA,"South West","No university"
14.1176470588235,"Yorkshire and The Humber","No university"
NA,"South West","No university"
NA,"South East","No university"
19.3548387096774,"Yorkshire and The Humber","No university"
12.853470437018,"South West","No university"
NA,"North West","No university"
10.6382978723404,"South West","No university"
NA,"South East","No university"
10.4,"South East","No university"
16.4948453608247,"Yorkshire and The Humber","No university"
10.8108108108108,"South West","No university"
12.0634920634921,"East Midlands","No university"
14.0845070422535,"East Midlands","No university"
8.28571428571428,"South East","No university"
15.450643776824,"South East","No university"
15.7303370786517,"East Midlands","No university"
13.9784946236559,"East Midlands","No university"
NA,"East Midlands","No university"
12.3595505617978,"South West","No university"
10.7407407407407,"East of England","No university"
19.1780821917808,"North West","No university"
NA,"East Midlands","No university"
4.47154471544715,"South East","No university"
23.0769230769231,"North West","No university"
18.5873605947955,"Yorkshire and The Humber","No university"
15.3061224489796,"Yorkshire and The Humber","No university"
NA,"West Midlands","No university"
11.8712273641851,"East Midlands","University"
14.8026315789474,"North West","No university"
9.85074626865672,"North West","No university"
15,"South West","No university"
8.21917808219178,"South West","No university"
14.0845070422535,"South East","No university"
9.4224924012158,"South West","No university"
NA,"South East","No university"
12.037037037037,"West Midlands","No university"
NA,"South East","No university"
11.5789473684211,"North East","No university"
34.6153846153846,"North West","No university"
10.0877192982456,"South East","No university"
14.6341463414634,"Yorkshire and The Humber","No university"
NA,"South West","No university"
NA,"South East","No university"
13,"East Midlands","No university"
10.7692307692308,"East Midlands","No university"
NA,"East of England","No university"
11.214953271028,"South West","No university"
12.3456790123457,"East of England","No university"
12.3456790123457,"South West","No university"
15.3061224489796,"East Midlands","No university"
NA,"South East","No university"
6.06060606060606,"South East","University"
14.2857142857143,"South East","No university"
10.9375,"East Midlands","No university"
14.8571428571429,"South West","No university"
23.2558139534884,"North East","No university"
NA,"South East","No university"
NA,"South East","No university"
11.7647058823529,"Yorkshire and The Humber","No university"
16.9590643274854,"Yorkshire and The Humber","No university"
NA,"South East","No university"
14.2857142857143,"East Midlands","No university"
NA,"Yorkshire and The Humber","No university"
NA,"South West","No university"
13.3333333333333,"South West","No university"
13.5,"Yorkshire and The Humber","No university"
8.91089108910891,"North West","No university"
13.1386861313869,"West Midlands","No university"
12.4031007751938,"South West","No university"
18.3098591549296,"Yorkshire and The Humber","No university"
NA,"South West","No university"
12.7906976744186,"North West","No university"
NA,"East Midlands","No university"
13.2743362831858,"South West","No university"
15.0234741784038,"East Midlands","No university"
14.7651006711409,"South West","No university"
11.4035087719298,"South East","No university"
15.2941176470588,"South West","No university"
18.8405797101449,"Yorkshire and The Humber","No university"
14.1732283464567,"Yorkshire and The Humber","No university"
13.3333333333333,"East of England","No university"
NA,"West Midlands","No university"
21.8181818181818,"West Midlands","No university"
20.253164556962,"South East","No university"
NA,"North West","No university"
24.1379310344828,"South West","No university"
20.5128205128205,"North East","No university"
10.2040816326531,"East Midlands","No university"
15.2777777777778,"East of England","No university"
14.2384105960265,"South East","No university"
13.5135135135135,"North East","No university"
NA,"East Midlands","No university"
NA,"East Midlands","No university"
14.7058823529412,"North East","No university"
14.1304347826087,"South West","No university"
20.8333333333333,"East of England","No university"
12.1951219512195,"North West","No university"
NA,"North West","No university"
6.89655172413793,"South East","No university"
8.69565217391304,"East Midlands","No university"
16.9540229885057,"North East","No university"
15.2866242038217,"East of England","No university"
14.7727272727273,"North West","No university"
12.3809523809524,"North West","No university"
9.375,"South East","No university"
12,"Yorkshire and The Humber","No university"
17.4468085106383,"East Midlands","No university"
NA,"East Midlands","No university"
NA,"East Midlands","No university"
15.7303370786517,"North West","No university"
16.8141592920354,"West Midlands","No university"
11.4754098360656,"South West","No university"
17.7777777777778,"East of England","No university"
11.3636363636364,"South West","No university"
12.2222222222222,"East Midlands","No university"
26.3157894736842,"North East","No university"
17.9775280898876,"Yorkshire and The Humber","No university"
6.26304801670146,"East of England","No university"
7.85123966942149,"West Midlands","No university"
NA,"South East","No university"
11.9047619047619,"East Midlands","No university"
14.1414141414141,"North East","No university"
NA,"South East","No university"
12.3893805309735,"South West","No university"
NA,"East Midlands","No university"
12.5954198473282,"East of England","No university"
NA,"South East","No university"
NA,"South East","No university"
20.253164556962,"Yorkshire and The Humber","No university"
15.3846153846154,"East of England","No university"
17.5487465181058,"East of England","No university"
16.4310954063604,"South West","No university"
NA,"South East","No university"
9.87654320987654,"South West","No university"
10.9090909090909,"North East","No university"
NA,"West Midlands","No university"
12.6760563380282,"East of England","No university"
11.6666666666667,"East of England","No university"
19.4444444444444,"North East","No university"
9.95475113122172,"North West","University"
19.4690265486726,"North East","No university"
17.7777777777778,"East Midlands","No university"
NA,"South East","No university"
NA,"East of England","No university"
14.9282296650718,"North East","No university"
18.75,"South West","No university"
19.6428571428571,"South West","No university"
12.037037037037,"South East","No university"
26.530612244898,"East of England","University"
15,"West Midlands","No university"
6.07476635514019,"South West","No university"
11.4035087719298,"Yorkshire and The Humber","No university"
NA,"South East","No university"
12.3456790123457,"West Midlands","No university"
NA,"East of England","No university"
30,"North West","No university"
14.4230769230769,"Yorkshire and The Humber","No university"
12.012987012987,"East of England","No university"
18.1102362204724,"East Midlands","No university"
18.8235294117647,"South West","No university"
16.6666666666667,"Yorkshire and The Humber","No university"
20.2898550724638,"North East","No university"
NA,"South West","No university"
17.037037037037,"South West","No university"
10.4536489151874,"South West","No university"
14.2857142857143,"South West","No university"
NA,"East of England","No university"
17.910447761194,"East of England","No university"
NA,"East of England","No university"
17.4129353233831,"North East","No university"
NA,"South East","No university"
NA,"South East","No university"
NA,"South East","No university"
16.0958904109589,"West Midlands","No university"
12.0689655172414,"East of England","No university"
8.52713178294574,"North West","No university"
NA,"Yorkshire and The Humber","No university"
11.7117117117117,"East of England","No university"
14.2045454545455,"Yorkshire and The Humber","No university"
NA,"South East","No university"
NA,"South West","No university"
19.4444444444444,"North East","No university"
NA,"South East","No university"
18.4615384615385,"North East","No university"
16.6666666666667,"North East","No university"
NA,"Yorkshire and The Humber","No university"
12.9032258064516,"South East","No university"
23.5294117647059,"East of England","No university"
16.3265306122449,"East of England","No university"
17.1875,"East Midlands","No university"
12.5,"West Midlands","No university"
NA,"East Midlands","No university"
14.8148148148148,"South East","No university"
10.6194690265487,"East of England","No university"
6.80272108843537,"North West","No university"
16.1572052401747,"East of England","No university"
12.7659574468085,"West Midlands","No university"
NA,"South East","No university"
12.4137931034483,"West Midlands","No university"
NA,"South East","No university"
10.5590062111801,"West Midlands","No university"
13.4146341463415,"East Midlands","No university"
18.75,"North West","No university"
12.2093023255814,"South West","No university"
13.2743362831858,"West Midlands","No university"
NA,"South West","No university"
18.5714285714286,"East Midlands","No university"
10.4838709677419,"Yorkshire and The Humber","No university"
NA,"East of England","No university"
NA,"East of England","No university"
16.3934426229508,"East of England","No university"
15.819209039548,"South West","No university"
9.73451327433628,"East Midlands","No university"
26.7379679144385,"North West","No university"
NA,"West Midlands","No university"
NA,"East Midlands","No university"
10,"East of England","No university"
12.0689655172414,"South West","No university"
NA,"North East","No university"
15.5963302752294,"South West","No university"
NA,"South East","No university"
7.8125,"South East","No university"
39.0243902439024,"North West","No university"
NA,"East of England","No university"
NA,"West Midlands","No university"
10.1351351351351,"Yorkshire and The Humber","No university"
10.6382978723404,"South West","No university"
NA,"East Midlands","No university"
18.5714285714286,"Yorkshire and The Humber","No university"
11.3207547169811,"West Midlands","No university"
13.2743362831858,"East Midlands","No university"
NA,"South East","No university"
NA,"South East","No university"
NA,"South East","No university"
19.5121951219512,"Yorkshire and The Humber","No university"
14.2857142857143,"South West","No university"
NA,"East of England","No university"
7.55555555555556,"South West","No university"
12.2448979591837,"South East","No university"
NA,"South East","No university"
15.625,"East of England","No university"
10.1851851851852,"East of England","No university"
12.7551020408163,"South East","No university"
NA,"South West","No university"
12.1052631578947,"East of England","No university"
11.965811965812,"East Midlands","No university"
11.3207547169811,"East of England","No university"
NA,"East of England","No university"
NA,"East of England","No university"
10.6508875739645,"East Midlands","No university"
18.8679245283019,"South East","No university"
15.5963302752294,"West Midlands","No university"
NA,"East Midlands","No university"
NA,"East of England","No university"
6.03174603174603,"North West","No university"
26.0869565217391,"North East","No university"
NA,"East of England","No university"
11.4285714285714,"East Midlands","No university"
NA,"South West","No university"
3.38983050847458,"East of England","No university"
NA,"East of England","No university"
15.5737704918033,"East of England","No university"
7.95454545454545,"South East","No university"
NA,"East of England","No university"
7.72532188841202,"South East","No university"
NA,"East Midlands","No university"
NA,"Yorkshire and The Humber","No university"
NA,"East Midlands","No university"
NA,"South East","No university"
21.259842519685,"East Midlands","No university"
9.94475138121547,"West Midlands","No university"
12.2448979591837,"East Midlands","No university"
17.2661870503597,"East of England","No university"
NA,"South West","No university"
NA,"East of England","No university"
14.9253731343284,"East Midlands","No university"
13.0584192439863,"East of England","No university"
13.0769230769231,"Yorkshire and The Humber","No university"
12.8712871287129,"East Midlands","No university"
9.2093023255814,"South West","University"
11.4068441064639,"North West","No university"
20.4819277108434,"North West","No university"
11.5384615384615,"Yorkshire and The Humber","No university"
17.6470588235294,"Yorkshire and The Humber","No university"
17.1052631578947,"West Midlands","No university"
NA,"South East","No university"
17.156862745098,"North East","No university"
13.3891213389121,"South East","No university"
NA,"South East","No university"
